Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
4.69588,0.36062,0.157256,0.192104,0.155992,0.159269,0.171589,0.16844,0.226101,0.320342,0.166334
5.19588,0.363829,0.155645,0.196462,0.153194,0.155611,0.167236,0.17163,0.229515,0.320942,0.162979
5.69588,0.359019,0.156179,0.199224,0.153369,0.149051,0.16209,0.174594,0.232558,0.323637,0.159506
6.19588,0.350604,0.159063,0.201456,0.157079,0.144148,0.15768,0.176564,0.23696,0.325566,0.158637
6.69588,0.34713,0.162034,0.203573,0.161756,0.143343,0.155133,0.175821,0.241472,0.32244,0.160516
7.19588,0.359477,0.163725,0.207179,0.166311,0.14515,0.155525,0.174733,0.24318,0.318503,0.164143
7.69588,0.387852,0.164473,0.212085,0.172055,0.146873,0.159036,0.176641,0.24096,0.32137,0.168743
8.19588,0.41658,0.165834,0.217212,0.177535,0.14751,0.165365,0.181167,0.237252,0.332161,0.173737
8.69588,0.434158,0.167909,0.22033,0.179709,0.148994,0.171652,0.182945,0.233266,0.343257,0.178268
9.19588,0.43509,0.168281,0.217924,0.176387,0.151933,0.174438,0.179416,0.229669,0.346335,0.180317
9.69588,0.421244,0.164517,0.207283,0.166556,0.15296,0.172838,0.172684,0.223813,0.339488,0.176284
10.1959,0.400367,0.156487,0.190116,0.154071,0.15105,0.167842,0.167198,0.214207,0.326061,0.16691
10.6959,0.375437,0.147957,0.173795,0.143571,0.148151,0.16367,0.165653,0.206136,0.31185,0.156853
11.1959,0.351124,0.142119,0.163914,0.136002,0.14666,0.161424,0.166251,0.20144,0.299721,0.149707
11.6959,0.332104,0.139529,0.161839,0.13166,0.147642,0.158894,0.167305,0.198616,0.291304,0.148087
12.1959,0.316014,0.13782,0.162596,0.128003,0.146192,0.153431,0.166668,0.193036,0.287509,0.149999
12.6959,0.29858,0.133803,0.161418,0.122211,0.13791,0.143204,0.160622,0.181408,0.285532,0.149985
13.1959,0.276423,0.126815,0.158212,0.113524,0.124745,0.128171,0.145316,0.164452,0.282074,0.143338
13.6959,0.250755,0.117672,0.154064,0.102119,0.110514,0.11041,0.121517,0.146694,0.274258,0.12965
14.1959,0.228492,0.108492,0.150651,0.0910204,0.099754,0.0958492,0.0975676,0.134825,0.260205,0.114875
14.6959,0.216261,0.101503,0.1491,0.0842387,0.0950206,0.0891608,0.082467,0.130746,0.240562,0.106555
15.1959,0.216182,0.0983792,0.15036,0.084249,0.0947966,0.0908349,0.0805966,0.132758,0.221252,0.110476
15.6959,0.225998,0.0999894,0.154877,0.0908014,0.0966506,0.0982375,0.0900633,0.137405,0.212591,0.124605
16.1959,0.239355,0.104775,0.162748,0.100902,0.1002,0.106858,0.103706,0.14113,0.223455,0.14242
16.6959,0.251482,0.110322,0.172603,0.110948,0.105851,0.114502,0.115471,0.145115,0.249962,0.156806
17.1959,0.261069,0.11524,0.182026,0.118869,0.113059,0.120732,0.12234,0.151385,0.277164,0.164816
17.6959,0.269281,0.119629,0.1897,0.125085,0.120682,0.125814,0.125629,0.158665,0.293985,0.168915
18.1959,0.276685,0.123568,0.195047,0.129848,0.127013,0.12985,0.127558,0.165079,0.300606,0.171725
18.6959,0.283537,0.1273,0.198554,0.133502,0.131149,0.133097,0.12879,0.170617,0.300254,0.174355
19.1959,0.294323,0.133109,0.203718,0.139716,0.136675,0.138705,0.133187,0.176722,0.30113,0.180408
