Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
17.3467,0.434739,0.228367,0.263984,0.17826,0.261185,0.235565,0.398032,0.259287,0.235724,0.24489,0.300197,0.289707,0.577547,0.306119
17.8467,0.43593,0.232963,0.26238,0.179135,0.273087,0.25042,0.403396,0.267258,0.2389,0.24466,0.304264,0.293051,0.590071,0.310078
18.3467,0.455333,0.250444,0.274861,0.199656,0.294894,0.288166,0.423245,0.272344,0.257081,0.259642,0.319777,0.309412,0.62133,0.312724
18.8467,0.484785,0.273404,0.288066,0.227162,0.320975,0.332605,0.447722,0.274078,0.281617,0.285089,0.340488,0.329291,0.649042,0.311399
19.3467,0.519271,0.296256,0.297377,0.256009,0.348315,0.376514,0.471818,0.275314,0.309664,0.320344,0.364762,0.348575,0.672988,0.307081
19.8467,0.551813,0.31659,0.305473,0.284208,0.373708,0.412759,0.494731,0.278708,0.339671,0.358753,0.389188,0.358553,0.701227,0.300924
20.3467,0.582836,0.333628,0.319262,0.312528,0.396555,0.442937,0.518659,0.284121,0.369321,0.396616,0.412739,0.359566,0.735472,0.296561
20.8467,0.598705,0.344733,0.341358,0.337438,0.410477,0.461168,0.539814,0.286402,0.390096,0.418205,0.430127,0.354251,0.760047,0.302316
21.3467,0.600289,0.35704,0.367052,0.35659,0.417795,0.471463,0.556759,0.285612,0.400625,0.428548,0.442002,0.351237,0.765175,0.319497
21.8467,0.593232,0.366196,0.385691,0.366788,0.41719,0.47368,0.563763,0.282852,0.401788,0.43391,0.449135,0.352092,0.753782,0.342337
22.3467,0.582478,0.370281,0.392333,0.371083,0.410958,0.465371,0.556522,0.283028,0.399446,0.43666,0.450043,0.352072,0.735919,0.361995
22.8467,0.575417,0.366011,0.387818,0.371509,0.401616,0.451973,0.543158,0.288479,0.394372,0.432893,0.442444,0.349775,0.721656,0.369552
23.3467,0.571217,0.355395,0.376593,0.373327,0.394128,0.441895,0.533573,0.297539,0.389872,0.423763,0.432554,0.346886,0.712838,0.366686
23.8467,0.569794,0.347816,0.367219,0.375673,0.390955,0.438949,0.530532,0.304875,0.38703,0.415493,0.425377,0.34657,0.708873,0.362187
24.3467,0.567132,0.341911,0.359004,0.377859,0.389277,0.441134,0.534296,0.309984,0.384542,0.407359,0.420137,0.347086,0.706703,0.356328
