Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
4.47574,0.290379,0.128537,0.138073,0.102167,0.12082,0.144093,0.14629,0.177614,0.0998381,0.128669,0.137589,0.124814,0.210876,0.27374,0.206491,0.156009
4.97574,0.28161,0.127289,0.131754,0.0911193,0.117346,0.139158,0.143453,0.170691,0.105081,0.125407,0.13215,0.123329,0.200316,0.259409,0.203909,0.152883
5.47574,0.273732,0.124928,0.128074,0.0859319,0.113547,0.135987,0.142821,0.159537,0.110949,0.121591,0.125936,0.122198,0.187561,0.254459,0.198315,0.150062
5.97574,0.265859,0.12005,0.12703,0.0875966,0.107776,0.132439,0.142242,0.145806,0.114474,0.11786,0.11888,0.119706,0.174635,0.256658,0.18688,0.147579
6.47574,0.258863,0.113738,0.127762,0.0925165,0.100262,0.127228,0.139651,0.134894,0.115475,0.116142,0.112752,0.116472,0.165276,0.25822,0.171986,0.14545
6.97574,0.253398,0.107236,0.126755,0.0946301,0.0921297,0.120248,0.135572,0.129033,0.113576,0.116571,0.108393,0.113475,0.160076,0.254363,0.158182,0.143249
7.47574,0.247918,0.102652,0.120906,0.0941621,0.0834495,0.11202,0.13287,0.126726,0.110611,0.119845,0.105329,0.111477,0.156221,0.245186,0.149075,0.141104
7.97574,0.241505,0.100696,0.113914,0.0921575,0.076219,0.105188,0.132535,0.123407,0.106785,0.125327,0.102475,0.111044,0.153516,0.235048,0.144922,0.138856
8.47574,0.23388,0.101386,0.109174,0.0899622,0.0733813,0.101556,0.13348,0.116956,0.101126,0.127979,0.098995,0.110929,0.152723,0.221975,0.143461,0.13686
8.97574,0.223879,0.104156,0.10623,0.0893759,0.0740565,0.101279,0.132683,0.109076,0.094852,0.121528,0.0929832,0.110063,0.15023,0.205309,0.141056,0.135131
9.47574,0.211227,0.104857,0.10369,0.0871578,0.077046,0.101541,0.127391,0.10137,0.0884226,0.105685,0.0851083,0.106593,0.144628,0.190673,0.134431,0.13372
9.97574,0.197726,0.101341,0.0998485,0.0824241,0.0796884,0.0985185,0.11732,0.0966601,0.0811283,0.0870332,0.0767417,0.100074,0.134612,0.17956,0.124506,0.132769
10.4757,0.182709,0.0942153,0.0942995,0.078628,0.0786958,0.0895517,0.104455,0.0937196,0.0717283,0.0716506,0.0673507,0.0913317,0.120127,0.168973,0.112301,0.131691
10.9757,0.165883,0.0856137,0.0873215,0.0754687,0.0744386,0.0751843,0.0924789,0.0884895,0.0601851,0.0634535,0.0576142,0.0821688,0.104171,0.156626,0.100689,0.130792
11.4757,0.14693,0.0780197,0.0804795,0.0721539,0.0683147,0.0587802,0.0819423,0.0802585,0.0484736,0.0616811,0.0485367,0.0750584,0.0882162,0.140068,0.0935856,0.129184
11.9757,0.127411,0.0724664,0.0745481,0.0686136,0.0624263,0.0457771,0.0729253,0.0707612,0.040064,0.0632681,0.0405017,0.0698328,0.0745229,0.121027,0.0895782,0.126875
12.4757,0.109984,0.0681379,0.0690688,0.0644927,0.057938,0.0379129,0.0652674,0.0621676,0.0351215,0.0649624,0.0341839,0.0651137,0.06492,0.103467,0.0860495,0.124695
