Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,036_12months_DTI_antsBM
0.188864,0.359828,0.327213,0.329257,0.296529,0.341798,0.365848,0.362187,0.351618,0.310789,0.320906,0.364365,0.328018,0.330383,0.308875,0.320291,0.304424,0.293989,0.327164,0.347541,0.331221,0.301176,0.275908,0.309009,0.305299,0.344531,0.342808,0.311411,0.315643,0.315622,0.325897,0.299321
0.688864,0.352683,0.333112,0.317937,0.309166,0.349927,0.3581,0.357693,0.354798,0.318761,0.322053,0.332493,0.327384,0.329441,0.309992,0.311646,0.302197,0.292765,0.330509,0.344826,0.328157,0.311139,0.281071,0.297025,0.305476,0.343781,0.350689,0.30257,0.319104,0.313269,0.326328,0.300909
1.18886,0.349996,0.34114,0.315017,0.323842,0.357141,0.350232,0.357923,0.351604,0.323186,0.326037,0.317543,0.331428,0.32771,0.313236,0.311644,0.305663,0.296633,0.335416,0.341774,0.32827,0.316904,0.289896,0.292582,0.301597,0.338732,0.353859,0.301647,0.322693,0.321865,0.327102,0.299836
1.68886,0.35007,0.348212,0.315475,0.340086,0.362983,0.341506,0.361166,0.344772,0.324196,0.331788,0.311665,0.335874,0.322139,0.315405,0.31494,0.309798,0.300042,0.339911,0.338968,0.327678,0.320528,0.302611,0.290522,0.296074,0.328642,0.352217,0.303696,0.325026,0.334168,0.324688,0.296144
2.18886,0.356484,0.353155,0.320454,0.354778,0.369512,0.33756,0.367875,0.338414,0.32648,0.340355,0.31756,0.339762,0.315263,0.315619,0.319079,0.311692,0.301168,0.343893,0.340442,0.328002,0.322718,0.317516,0.293933,0.293772,0.319146,0.34693,0.308683,0.32697,0.345031,0.320344,0.291953
2.68886,0.365532,0.356219,0.327759,0.365261,0.376905,0.341092,0.372985,0.336287,0.333692,0.348979,0.323468,0.341111,0.309491,0.313258,0.318143,0.310108,0.300075,0.34612,0.346157,0.32975,0.324385,0.331919,0.302053,0.295557,0.317532,0.341482,0.313142,0.327985,0.348937,0.31811,0.290142
3.18886,0.36964,0.356586,0.333605,0.369849,0.381373,0.349033,0.371969,0.336004,0.342342,0.353497,0.319879,0.339226,0.305857,0.309122,0.310441,0.306786,0.299248,0.344521,0.350938,0.331363,0.323732,0.341203,0.30942,0.29884,0.323483,0.337974,0.316046,0.327287,0.34477,0.319784,0.29148
3.68886,0.364608,0.352823,0.335431,0.366778,0.378939,0.354252,0.364017,0.332682,0.344396,0.348739,0.311283,0.334829,0.303417,0.30459,0.298666,0.302704,0.298285,0.337525,0.350461,0.328841,0.31907,0.342779,0.310124,0.298007,0.329969,0.335739,0.315331,0.32343,0.33603,0.321061,0.293444
4.18886,0.353545,0.343527,0.331053,0.35533,0.367732,0.350948,0.351578,0.323728,0.334643,0.333431,0.303855,0.32784,0.299463,0.298916,0.284714,0.297259,0.292565,0.326224,0.344258,0.320187,0.309883,0.336951,0.302397,0.289963,0.33056,0.331971,0.308532,0.313882,0.323925,0.316794,0.292143
4.68886,0.340123,0.329094,0.321256,0.338267,0.351843,0.337814,0.338245,0.309669,0.317984,0.313733,0.299126,0.318274,0.292211,0.291053,0.271151,0.287051,0.278622,0.312437,0.335336,0.307616,0.298124,0.325155,0.287501,0.276987,0.322765,0.323339,0.296186,0.299872,0.308912,0.305664,0.286049
