Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM
-13.7101,0.294572,0.2909,0.259834,0.288045,0.274502,0.274419,0.230526,0.248199,0.248863,0.217341,0.266788,0.209442,0.232679,0.228199,0.292928,0.298274,0.241338,0.225209,0.233757,0.277568,0.267687,0.266356,0.232294,0.282799,0.27905,0.244384,0.234959,0.247081,0.229358
-13.2101,0.291935,0.287385,0.25966,0.28711,0.270958,0.27065,0.22517,0.244345,0.24032,0.212439,0.267738,0.205065,0.228165,0.230031,0.295623,0.296737,0.242476,0.223439,0.231422,0.273338,0.264147,0.260745,0.230683,0.278288,0.275857,0.245032,0.231431,0.24105,0.221752
-12.7101,0.286755,0.282726,0.259153,0.285794,0.269287,0.26479,0.219073,0.241402,0.230001,0.208753,0.268562,0.200481,0.222508,0.23166,0.296283,0.29343,0.243003,0.22033,0.229039,0.269441,0.261274,0.255455,0.228014,0.274684,0.270943,0.245129,0.227055,0.234238,0.211368
-12.2101,0.28118,0.279613,0.259179,0.284701,0.271009,0.257713,0.213799,0.239384,0.220755,0.20823,0.26981,0.198104,0.216649,0.231031,0.295272,0.288861,0.242779,0.217574,0.22643,0.267063,0.260474,0.252207,0.225878,0.272414,0.264273,0.246119,0.224337,0.230065,0.200886
-11.7101,0.276151,0.27878,0.259954,0.2824,0.274328,0.250722,0.210632,0.237415,0.214831,0.211718,0.27084,0.198663,0.211014,0.227538,0.291881,0.283327,0.24156,0.216202,0.223686,0.266372,0.262114,0.252345,0.225499,0.269633,0.255738,0.248511,0.225065,0.230332,0.192713
-11.2101,0.272193,0.279433,0.262236,0.278333,0.277041,0.245224,0.210807,0.235373,0.213471,0.219651,0.271157,0.20177,0.206796,0.222586,0.286235,0.277056,0.239163,0.217051,0.220941,0.267939,0.266284,0.256863,0.227717,0.265702,0.246604,0.253442,0.230553,0.236271,0.18808
-10.7101,0.268577,0.27897,0.265002,0.271615,0.276614,0.241322,0.213905,0.233432,0.214881,0.229247,0.270479,0.205004,0.203858,0.219423,0.279584,0.270416,0.235373,0.218733,0.218287,0.270808,0.272925,0.265151,0.231421,0.261383,0.23924,0.260853,0.239757,0.246882,0.185656
-10.2101,0.264553,0.275572,0.266616,0.26357,0.273997,0.237737,0.218737,0.23155,0.217183,0.236981,0.268621,0.205871,0.201916,0.221475,0.274528,0.263792,0.230243,0.219464,0.21607,0.274421,0.281089,0.275426,0.234925,0.25865,0.235508,0.269273,0.249619,0.259552,0.183539
-9.71011,0.260263,0.269654,0.266883,0.257963,0.271052,0.232957,0.223848,0.229538,0.219064,0.241035,0.2654,0.203799,0.201158,0.229271,0.272329,0.258229,0.225121,0.218055,0.21486,0.277985,0.289437,0.286136,0.23661,0.258525,0.236398,0.276307,0.25703,0.271215,0.181655
-9.21011,0.255458,0.262462,0.265216,0.255312,0.267926,0.226293,0.227371,0.225551,0.219506,0.240718,0.259337,0.199045,0.201112,0.239405,0.271541,0.254485,0.220605,0.214031,0.213742,0.280202,0.295222,0.294941,0.235155,0.258025,0.239462,0.279261,0.259693,0.278871,0.179373
