Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-8.80412,0.367829,0.277331,0.332973,0.314143,0.319621,0.282755,0.329308,0.269693,0.380171,0.308777,0.354879,0.300574,0.326398,0.270259,0.274986,0.292281,0.273438,0.318411,0.347448,0.317221,0.340595,0.259132,0.282546,0.292807,0.327743,0.297163,0.324769,0.350161,0.288609,0.274494,0.29761,0.282521,0.312264,0.337325
-8.30412,0.341127,0.250232,0.330312,0.309099,0.313646,0.279364,0.331182,0.251481,0.370639,0.288062,0.349938,0.283397,0.310191,0.263864,0.276055,0.283167,0.270274,0.312415,0.332106,0.305494,0.324158,0.251113,0.283005,0.283584,0.306111,0.275877,0.310394,0.338248,0.282626,0.265677,0.293835,0.270414,0.296137,0.327618
-7.80412,0.308179,0.225433,0.315196,0.291367,0.296029,0.268263,0.318694,0.22748,0.345108,0.263975,0.32425,0.258987,0.282678,0.253589,0.268971,0.264014,0.254766,0.296241,0.303885,0.282917,0.29552,0.234862,0.275268,0.267616,0.271932,0.246254,0.283263,0.311338,0.269532,0.244295,0.277676,0.248326,0.271142,0.304916
-7.30412,0.277732,0.20945,0.286292,0.264332,0.268048,0.250056,0.29178,0.204359,0.306126,0.24223,0.283264,0.233012,0.248675,0.24071,0.253406,0.239099,0.228875,0.271672,0.268187,0.251995,0.259209,0.21476,0.259866,0.246433,0.231796,0.214882,0.24973,0.275671,0.249533,0.216457,0.249704,0.219113,0.241208,0.27006
-6.80412,0.257758,0.206158,0.252292,0.237144,0.238231,0.230916,0.259402,0.190325,0.263556,0.227359,0.243911,0.212971,0.218686,0.226179,0.233106,0.217686,0.202502,0.244401,0.235653,0.221696,0.223576,0.198391,0.24232,0.224997,0.1961,0.190639,0.221153,0.242839,0.226589,0.192427,0.218013,0.192226,0.214622,0.231489
-6.30412,0.250579,0.216322,0.226931,0.218555,0.217654,0.219491,0.234576,0.189149,0.229814,0.220392,0.222677,0.204005,0.200879,0.212871,0.215087,0.20804,0.187014,0.221704,0.216115,0.202557,0.197039,0.1913,0.230004,0.209329,0.172797,0.179176,0.206957,0.222971,0.206905,0.179863,0.193946,0.177263,0.199062,0.200202
-5.80412,0.252294,0.236593,0.219905,0.212842,0.213392,0.220466,0.227286,0.197276,0.212823,0.219922,0.223428,0.206562,0.196871,0.204465,0.206787,0.212752,0.18774,0.209698,0.213009,0.198871,0.186341,0.193279,0.228009,0.203515,0.163242,0.180131,0.208927,0.217249,0.196509,0.179952,0.18376,0.179005,0.196618,0.18465
-5.30412,0.258818,0.259052,0.228744,0.217272,0.222506,0.231838,0.236989,0.208197,0.212097,0.222173,0.235309,0.218035,0.203335,0.203364,0.209237,0.225554,0.199942,0.209144,0.222293,0.206823,0.192475,0.200381,0.234594,0.205056,0.163738,0.18663,0.219681,0.218509,0.19896,0.187417,0.184191,0.195304,0.203047,0.18496
-4.80412,0.268775,0.273663,0.242659,0.224714,0.236256,0.247692,0.255621,0.217403,0.221841,0.2236,0.244468,0.232646,0.214378,0.209278,0.217954,0.238121,0.215663,0.216209,0.234789,0.218795,0.21002,0.209065,0.243226,0.208727,0.170225,0.190746,0.228421,0.219148,0.213216,0.194413,0.187657,0.218213,0.212764,0.193903
-4.30412,0.280935,0.275482,0.25122,0.229212,0.247263,0.262101,0.27471,0.223413,0.235758,0.222269,0.24632,0.242107,0.225521,0.217436,0.225542,0.245329,0.228915,0.224476,0.242739,0.229275,0.229168,0.216575,0.247806,0.212272,0.179932,0.187779,0.227074,0.215526,0.233458,0.197099,0.188603,0.239154,0.222335,0.203019
