Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-5.05246,0.269073,0.194001,0.203984,0.183735,0.193271,0.206886,0.192164,0.205492,0.224002,0.214096,0.176055,0.165416,0.180862,0.184571,0.205247,0.186084,0.191977,0.203398,0.175918,0.177308,0.200217,0.191491,0.171355,0.185073,0.188767,0.183689,0.222918,0.167911,0.169796,0.188723,0.180753,0.170938
-4.55246,0.26183,0.207264,0.207631,0.201432,0.210944,0.2235,0.206352,0.213571,0.227255,0.23017,0.196109,0.184836,0.185466,0.187438,0.217811,0.194039,0.195829,0.20206,0.190058,0.192791,0.208673,0.197883,0.169519,0.187622,0.195569,0.185263,0.226991,0.171593,0.167396,0.203995,0.196855,0.176394
-4.05246,0.25733,0.230212,0.217593,0.228524,0.238259,0.236958,0.223303,0.222312,0.243034,0.247563,0.22153,0.211969,0.198558,0.197674,0.235226,0.211913,0.207796,0.209893,0.210158,0.213093,0.228114,0.216696,0.17485,0.190873,0.205097,0.193183,0.238798,0.180142,0.171605,0.220822,0.217417,0.186762
-3.55246,0.257424,0.254712,0.227921,0.25439,0.263606,0.241357,0.237195,0.231096,0.263569,0.255431,0.241423,0.23527,0.214923,0.211568,0.250212,0.230878,0.222074,0.22352,0.226533,0.228526,0.253314,0.239647,0.186274,0.191397,0.213538,0.201998,0.253045,0.189362,0.178844,0.231137,0.235636,0.194905
-3.05246,0.262995,0.271062,0.234727,0.272033,0.277641,0.238058,0.245377,0.240178,0.281042,0.250489,0.249604,0.246707,0.226159,0.223192,0.258199,0.242819,0.232944,0.236631,0.233668,0.230167,0.273739,0.254276,0.201925,0.189832,0.218604,0.208273,0.263824,0.195868,0.187885,0.231284,0.245913,0.199935
-2.55246,0.269528,0.273466,0.238606,0.279055,0.278305,0.234075,0.249992,0.24917,0.291885,0.242229,0.248658,0.247939,0.226837,0.227112,0.260358,0.246002,0.236759,0.242365,0.232469,0.219823,0.281293,0.254593,0.218795,0.188204,0.220097,0.211126,0.267771,0.20045,0.199604,0.224423,0.248186,0.206366
-2.05246,0.270446,0.266876,0.242959,0.277698,0.270853,0.237147,0.255391,0.256838,0.296615,0.245129,0.246788,0.247741,0.220221,0.223621,0.261097,0.247486,0.234496,0.240489,0.227469,0.211365,0.277246,0.246266,0.233536,0.188422,0.219951,0.211987,0.264852,0.206006,0.215003,0.218109,0.246087,0.218465
-1.55246,0.263222,0.262843,0.250807,0.274242,0.265175,0.250448,0.263026,0.263588,0.29897,0.261824,0.249997,0.251817,0.214765,0.219024,0.266372,0.254117,0.231116,0.240056,0.223525,0.215303,0.269502,0.240457,0.244275,0.192873,0.220603,0.215252,0.258019,0.215694,0.23346,0.219023,0.244098,0.236037
-1.05246,0.25177,0.268021,0.259562,0.273186,0.265895,0.267719,0.271572,0.268281,0.301666,0.282923,0.256261,0.258393,0.21529,0.218182,0.274335,0.263768,0.231082,0.245772,0.222206,0.229221,0.265753,0.241763,0.249442,0.201295,0.223688,0.222226,0.251674,0.227085,0.249685,0.227002,0.244282,0.252072
-0.552457,0.240473,0.281045,0.265191,0.274395,0.272082,0.282587,0.278298,0.269714,0.304308,0.297367,0.261805,0.263142,0.220855,0.221514,0.281276,0.271712,0.234717,0.256543,0.221614,0.244602,0.266649,0.247658,0.249289,0.211429,0.227418,0.231495,0.248218,0.236555,0.260737,0.237707,0.245473,0.261189
