Arc_length vs Data,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-1.03622,0.352103,0.412062,0.366514,0.377413,0.325816,0.531163,0.3786,0.31634,0.407733,0.339024,0.395679,0.709435,0.478077
-0.536224,0.318194,0.396181,0.349489,0.348028,0.323396,0.509789,0.333804,0.306505,0.384054,0.329066,0.368807,0.720698,0.449448
-0.0362243,0.282042,0.387581,0.336579,0.307383,0.318842,0.488736,0.299713,0.291421,0.340127,0.322774,0.340358,0.731789,0.435032
0.463776,0.265675,0.387208,0.332558,0.276036,0.312693,0.487867,0.285697,0.279088,0.303858,0.322486,0.32503,0.706949,0.437955
0.963776,0.267023,0.393292,0.34155,0.260787,0.307958,0.507229,0.291305,0.278796,0.287349,0.328005,0.329204,0.66724,0.45132
1.46378,0.277004,0.400865,0.359457,0.257742,0.30607,0.536228,0.309544,0.289524,0.285098,0.337286,0.343276,0.631258,0.467747
1.96378,0.288917,0.406942,0.380416,0.26564,0.308339,0.566543,0.338917,0.306705,0.29566,0.350113,0.362542,0.61498,0.48386
2.46378,0.294481,0.409327,0.399279,0.283383,0.314487,0.582237,0.374272,0.323666,0.31678,0.361753,0.38115,0.631118,0.495565
2.96378,0.293734,0.40892,0.409921,0.302741,0.321449,0.577415,0.407751,0.339539,0.34046,0.367488,0.397854,0.666999,0.501126
3.46378,0.289787,0.40711,0.412271,0.315084,0.326658,0.558274,0.430934,0.357684,0.361583,0.367204,0.414772,0.708307,0.500889
3.96378,0.286267,0.404144,0.410147,0.319346,0.329703,0.531146,0.437306,0.380583,0.379439,0.360408,0.431873,0.744511,0.495009
4.46378,0.284992,0.399059,0.404945,0.319855,0.333225,0.498746,0.427793,0.408608,0.393902,0.347227,0.445961,0.770864,0.480839
4.96378,0.286417,0.394331,0.399574,0.319099,0.338744,0.454652,0.409566,0.437112,0.403591,0.330972,0.451793,0.784645,0.458151
5.46378,0.291276,0.392264,0.390673,0.317816,0.344837,0.39625,0.390805,0.46057,0.406654,0.314148,0.443651,0.779391,0.431886
5.96378,0.29751,0.392218,0.372581,0.314009,0.349368,0.339106,0.378632,0.47254,0.404285,0.301443,0.420456,0.752247,0.41052
6.46378,0.303049,0.393972,0.348131,0.310178,0.351383,0.309612,0.37527,0.4663,0.402207,0.297678,0.390054,0.719736,0.401624
6.96378,0.305054,0.395941,0.324496,0.314523,0.353017,0.32553,0.379618,0.444456,0.403718,0.300483,0.363542,0.701913,0.408796
7.46378,0.30412,0.398493,0.310838,0.327588,0.359312,0.377197,0.389371,0.418339,0.405903,0.306735,0.349879,0.708739,0.42827
