Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,,Mean FA 4,MeanFA 0,Average,Rel Beta (4 expos),Exp Betas,Exp Corr Beta (4 exposures)
-0.960648,0.67309,0.341247,0.367468,0.393544,0.352392,0.308855,0.373349,0.534778,0.318193,0.330744,0.325999,0.359053,0.422193,0.715317,0.422204,,0.346,0.5211,0.4159,-0.3651148925,-0.077,-0.152
-0.460648,0.665211,0.331571,0.35244,0.38066,0.358804,0.291163,0.365879,0.502009,0.310696,0.325272,0.321979,0.353164,0.413725,0.6775,0.415485,,0.338,0.5045,0.4044,-0.358829787,-0.074,-0.145
0.0393522,0.633584,0.304426,0.329226,0.351239,0.351086,0.262579,0.350145,0.458668,0.302832,0.30839,0.317163,0.330667,0.387969,0.628414,0.400081,,0.320,0.4732,0.3811,-0.3541963434,-0.068,-0.135
0.539352,0.587168,0.277036,0.304349,0.318602,0.333657,0.238187,0.331179,0.422243,0.290175,0.288562,0.312071,0.297668,0.358845,0.576661,0.375478,,0.299,0.4363,0.3541,-0.3482762777,-0.063,-0.123
1.03935,0.542048,0.256758,0.284615,0.294941,0.314317,0.224972,0.315876,0.403671,0.274079,0.27746,0.306219,0.265212,0.342183,0.532451,0.343786,,0.283,0.4049,0.3319,-0.3380394518,-0.057,-0.112
1.53935,0.505649,0.242307,0.271728,0.282098,0.295277,0.219741,0.305823,0.397389,0.256701,0.276415,0.296697,0.239111,0.337083,0.499739,0.315252,,0.272,0.3824,0.3161,-0.3266761886,-0.052,-0.103
2.03935,0.484182,0.231736,0.269436,0.278803,0.280191,0.220583,0.29951,0.394566,0.244264,0.280885,0.286064,0.225246,0.338394,0.481994,0.296114,,0.266,0.3701,0.3075,-0.3165266386,-0.049,-0.097
2.53935,0.476804,0.224303,0.276933,0.279659,0.271034,0.223477,0.292929,0.386848,0.240626,0.283719,0.275987,0.224533,0.338535,0.481068,0.28793,,0.263,0.3660,0.3043,-0.3097295978,-0.048,-0.094
3.03935,0.477184,0.220823,0.286648,0.279758,0.267466,0.227192,0.283575,0.37234,0.242777,0.281181,0.266905,0.231557,0.332502,0.491042,0.286542,,0.262,0.3652,0.3032,-0.3073040778,-0.047,-0.093
3.53935,0.477014,0.218625,0.28956,0.275852,0.2644,0.227859,0.273086,0.352375,0.245532,0.270323,0.257906,0.236771,0.31938,0.504196,0.285281,,0.258,0.3625,0.2999,-0.3098363385,-0.047,-0.093
