Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM
-4.69592,0.304774,0.259483,0.267115,0.269025,0.261824,0.260672,0.28282,0.276735,0.268726,0.200748,0.290061,0.22519,0.260031,0.247075,0.243465,0.225895,0.262625,0.255668,0.28092,0.264092,0.281956,0.268186,0.262055,0.275576,0.253247,0.243402,0.265491,0.253088,0.255549,0.294572,0.297821,0.228672,0.260841,0.266697,0.263138,0.275958
-4.19592,0.286401,0.237609,0.245118,0.245828,0.244748,0.242215,0.262856,0.260089,0.252033,0.184349,0.261375,0.207758,0.243525,0.226115,0.237709,0.223752,0.249898,0.243935,0.270505,0.252958,0.2639,0.248698,0.242636,0.251357,0.2374,0.235462,0.242567,0.233458,0.236951,0.282998,0.283909,0.209913,0.241991,0.24506,0.25193,0.261404
-3.69592,0.264027,0.216944,0.226689,0.225295,0.223699,0.222935,0.240086,0.243161,0.231279,0.1695,0.233015,0.190447,0.223931,0.205082,0.228045,0.219788,0.232031,0.232636,0.257892,0.235786,0.243041,0.226515,0.222791,0.228941,0.2224,0.226601,0.220477,0.212737,0.221056,0.265476,0.26528,0.189984,0.222497,0.224178,0.237755,0.249074
-3.19592,0.240885,0.200052,0.211981,0.206199,0.204608,0.206576,0.221508,0.230472,0.210254,0.155283,0.208316,0.174959,0.207365,0.185316,0.215451,0.212366,0.211182,0.220654,0.243407,0.216269,0.220013,0.204746,0.203737,0.209457,0.208027,0.213257,0.203705,0.191998,0.208042,0.24515,0.244278,0.171622,0.205122,0.206942,0.220717,0.240622
-2.69592,0.221254,0.186556,0.200577,0.189929,0.19101,0.19375,0.210549,0.222909,0.193078,0.142847,0.189681,0.163052,0.197974,0.168372,0.203199,0.203185,0.192581,0.208746,0.227651,0.198396,0.198022,0.18902,0.188871,0.195381,0.195442,0.19631,0.191422,0.173719,0.196654,0.22598,0.225222,0.158021,0.191481,0.195277,0.205485,0.235269
-2.19592,0.207944,0.176956,0.192619,0.180171,0.182963,0.18464,0.20595,0.2179,0.182717,0.136815,0.179867,0.157639,0.194851,0.154162,0.194666,0.195622,0.181841,0.200866,0.212983,0.185835,0.182721,0.182467,0.180062,0.188591,0.186502,0.181535,0.181572,0.161057,0.186705,0.212438,0.213475,0.152008,0.184044,0.190533,0.197069,0.231217
-1.69592,0.202623,0.173921,0.189246,0.18161,0.179723,0.182514,0.203171,0.213089,0.180455,0.14042,0.179069,0.161584,0.19517,0.143734,0.191063,0.192343,0.182907,0.200392,0.203204,0.182256,0.175954,0.184361,0.178685,0.188311,0.182207,0.174968,0.176189,0.157282,0.180099,0.208371,0.212288,0.155571,0.18483,0.193037,0.196945,0.226561
-1.19592,0.203151,0.176506,0.189817,0.191779,0.180773,0.186301,0.200499,0.208638,0.183828,0.150198,0.183847,0.171009,0.19626,0.138762,0.190415,0.192604,0.191775,0.205656,0.198974,0.185505,0.176226,0.189187,0.182159,0.1916,0.181979,0.175992,0.176817,0.160935,0.177937,0.21138,0.218047,0.164675,0.190289,0.199823,0.20184,0.221753
-0.695923,0.207525,0.182304,0.193407,0.205086,0.186204,0.194564,0.198591,0.204866,0.190517,0.162469,0.19185,0.182505,0.19715,0.138196,0.191269,0.195303,0.203762,0.215452,0.200604,0.192603,0.180503,0.193511,0.187716,0.19646,0.183791,0.181376,0.18297,0.169274,0.180085,0.218178,0.226182,0.176528,0.198378,0.209045,0.208968,0.218094
-0.195923,0.218275,0.193057,0.206177,0.225904,0.204761,0.212754,0.197357,0.203872,0.204999,0.180586,0.204786,0.200412,0.200817,0.143519,0.195259,0.201139,0.223173,0.237659,0.214415,0.207686,0.190921,0.200292,0.196703,0.204614,0.18931,0.193308,0.199731,0.188833,0.191709,0.232185,0.238857,0.199096,0.212173,0.22506,0.217906,0.217902
