Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-10.4606,0.38512,0.398179,0.395844,0.352472,0.414248,0.432194,0.382379,0.395341,0.416367,0.383202,0.389234,0.37712,0.391869,0.38674,0.378456,0.376077,0.35509,0.347734,0.365966,0.358151,0.390311,0.392779,0.342031,0.386635,0.364475,0.388474,0.376667,0.357255,0.356849,0.363602,0.356039,0.365437,0.368697,0.379385,0.391224,0.345125,0.426651
-9.96065,0.400045,0.416637,0.412058,0.368787,0.42542,0.446496,0.402806,0.414021,0.426333,0.39369,0.403143,0.385252,0.399669,0.398848,0.391232,0.385137,0.373515,0.363537,0.382214,0.370463,0.404859,0.406952,0.357003,0.393944,0.378444,0.392796,0.393247,0.369778,0.378754,0.375139,0.375643,0.379342,0.382915,0.394169,0.404479,0.362494,0.438482
-9.46065,0.414052,0.434711,0.42631,0.387855,0.436768,0.459143,0.422364,0.434559,0.434879,0.406127,0.417644,0.39845,0.41178,0.411492,0.403929,0.395284,0.391589,0.37767,0.397564,0.383417,0.417813,0.421315,0.372268,0.40246,0.393507,0.399765,0.408006,0.380652,0.400752,0.386447,0.393783,0.394486,0.396544,0.410219,0.415778,0.381529,0.448329
-8.96065,0.425627,0.451093,0.437727,0.405383,0.447354,0.468705,0.437929,0.453043,0.441251,0.420078,0.430358,0.41462,0.423541,0.423456,0.414056,0.404098,0.407703,0.38872,0.410108,0.39541,0.429563,0.434289,0.385933,0.412051,0.407101,0.40799,0.419324,0.389575,0.419866,0.396883,0.406517,0.408426,0.40885,0.426161,0.4231,0.399763,0.456329
-8.46065,0.435302,0.464575,0.446217,0.418668,0.456133,0.4757,0.44868,0.465952,0.446535,0.431845,0.439917,0.428951,0.431372,0.434013,0.420155,0.40974,0.420962,0.397415,0.420492,0.405741,0.439795,0.444777,0.394985,0.421203,0.417038,0.415258,0.425255,0.397476,0.432893,0.405908,0.412858,0.418982,0.417739,0.439181,0.426508,0.414711,0.463711
-7.96065,0.442751,0.47338,0.452334,0.428034,0.46212,0.480996,0.45427,0.472624,0.45167,0.43891,0.445915,0.43799,0.434566,0.442409,0.422763,0.411858,0.430698,0.406285,0.429941,0.413958,0.447382,0.451869,0.39755,0.426719,0.421665,0.419277,0.425626,0.404461,0.438152,0.412561,0.414497,0.424964,0.421271,0.447134,0.426507,0.424738,0.469564
-7.46065,0.446507,0.474401,0.455961,0.433541,0.465292,0.484274,0.456135,0.474066,0.454906,0.440398,0.449695,0.439519,0.433818,0.446403,0.423724,0.412097,0.43678,0.415991,0.437598,0.418382,0.450799,0.454805,0.39415,0.426335,0.420147,0.418148,0.422722,0.409186,0.435841,0.415799,0.412075,0.427388,0.419824,0.449278,0.423736,0.429108,0.47201
-6.96065,0.446383,0.466129,0.456761,0.435901,0.46589,0.485689,0.456012,0.471692,0.454168,0.437346,0.452357,0.434473,0.430431,0.446015,0.424185,0.412845,0.440166,0.425487,0.442019,0.419201,0.450376,0.454156,0.386501,0.419823,0.414314,0.413151,0.418548,0.409303,0.427784,0.416213,0.407148,0.428419,0.415772,0.447579,0.419646,0.42917,0.470921
-6.46065,0.442333,0.450404,0.454154,0.43524,0.464041,0.486013,0.453469,0.466213,0.449948,0.431053,0.453529,0.426764,0.423549,0.441815,0.42349,0.414309,0.440937,0.432368,0.442531,0.417711,0.447003,0.450377,0.376899,0.409993,0.407796,0.405923,0.414085,0.404281,0.417156,0.416097,0.402125,0.427767,0.411786,0.443842,0.415528,0.427277,0.466705
-5.96065,0.43589,0.433345,0.448818,0.432498,0.461434,0.486089,0.449567,0.460284,0.442927,0.42325,0.453854,0.418134,0.414756,0.434844,0.421089,0.415376,0.439193,0.434849,0.441266,0.417197,0.441977,0.445072,0.368214,0.400933,0.404776,0.398103,0.40944,0.396421,0.408281,0.417447,0.399952,0.425549,0.409375,0.439291,0.412939,0.424171,0.460815
-5.46065,0.429964,0.422227,0.442871,0.429762,0.461205,0.486759,0.446217,0.456872,0.436695,0.415804,0.453617,0.412459,0.408734,0.428536,0.419268,0.416431,0.437594,0.43443,0.441977,0.421443,0.437304,0.441402,0.364145,0.398075,0.408218,0.39269,0.40648,0.389515,0.404697,0.421571,0.404743,0.423745,0.409402,0.436621,0.413086,0.420918,0.45509
-4.96065,0.426254,0.421857,0.44002,0.4293,0.464954,0.488621,0.445594,0.457411,0.434823,0.409587,0.454537,0.412307,0.409879,0.42575,0.422047,0.419746,0.439009,0.433432,0.447933,0.431606,0.435746,0.442308,0.366008,0.405132,0.418493,0.391709,0.408777,0.387478,0.407988,0.428536,0.416861,0.426526,0.411671,0.439426,0.416518,0.419584,0.452784
-4.46065,0.426085,0.432102,0.443976,0.43427,0.472838,0.493545,0.448736,0.461691,0.438749,0.407272,0.459262,0.420196,0.421061,0.428983,0.432337,0.429296,0.445753,0.434601,0.459856,0.447116,0.440566,0.450274,0.373092,0.420573,0.43402,0.396145,0.418352,0.392376,0.417644,0.438571,0.433175,0.43747,0.416254,0.448236,0.423364,0.422856,0.4573
-3.96065,0.430684,0.448958,0.456687,0.44842,0.486553,0.506269,0.456557,0.470142,0.450672,0.412722,0.469935,0.440088,0.441507,0.441426,0.452347,0.448423,0.460107,0.442413,0.478096,0.467685,0.454232,0.466722,0.385818,0.440732,0.45329,0.407115,0.434411,0.404676,0.43241,0.454364,0.452924,0.457311,0.424062,0.46205,0.435492,0.4346,0.471358
-3.46065,0.441556,0.469963,0.475285,0.471832,0.507717,0.529997,0.470002,0.483496,0.467693,0.428575,0.488057,0.469815,0.469414,0.462635,0.48078,0.474212,0.481211,0.459751,0.502001,0.493181,0.47493,0.489795,0.405818,0.463536,0.475773,0.42416,0.45434,0.42293,0.451475,0.478144,0.477517,0.484868,0.43418,0.479262,0.454622,0.455915,0.494248
-2.96065,0.459445,0.495033,0.494034,0.499549,0.534871,0.561305,0.488804,0.501879,0.488406,0.454348,0.513167,0.503415,0.503309,0.488986,0.513421,0.502342,0.505844,0.484765,0.529017,0.521588,0.497998,0.515099,0.430533,0.488464,0.499964,0.445656,0.476084,0.444075,0.474297,0.507892,0.507111,0.516891,0.447237,0.497749,0.48071,0.484325,0.519984
-2.46065,0.483651,0.524551,0.510668,0.528349,0.564657,0.593974,0.51084,0.522934,0.512158,0.484716,0.542305,0.533927,0.538246,0.515888,0.544566,0.529315,0.531219,0.512861,0.555758,0.549177,0.519801,0.538706,0.454674,0.514212,0.52372,0.469221,0.497181,0.464745,0.49925,0.538644,0.538234,0.549252,0.464491,0.5175,0.511356,0.515256,0.545126
-1.96065,0.510426,0.556831,0.525081,0.554614,0.592395,0.622412,0.532677,0.541871,0.536686,0.513747,0.57041,0.557418,0.569123,0.537875,0.566997,0.551714,0.555345,0.539128,0.577103,0.572699,0.539567,0.557554,0.473579,0.537658,0.545069,0.490336,0.514635,0.482558,0.523009,0.563527,0.565542,0.576786,0.485012,0.538564,0.540531,0.542582,0.569294
-1.46065,0.533573,0.586045,0.536768,0.574189,0.613454,0.642274,0.550003,0.555897,0.558735,0.53618,0.590284,0.573405,0.587872,0.551965,0.577362,0.567799,0.575009,0.558933,0.587985,0.586439,0.556921,0.569776,0.482645,0.551876,0.561794,0.503813,0.525531,0.495033,0.541925,0.576863,0.583598,0.594796,0.505192,0.55841,0.561346,0.559336,0.590621
-0.960648,0.547741,0.604477,0.544959,0.585105,0.624581,0.65189,0.558966,0.564291,0.572538,0.547741,0.598621,0.581345,0.59162,0.557054,0.576657,0.575312,0.587004,0.569816,0.586333,0.586869,0.568674,0.575611,0.482828,0.552979,0.571586,0.507914,0.529497,0.500257,0.551644,0.577599,0.590934,0.600873,0.519415,0.573274,0.569385,0.562621,0.606056
-0.460648,0.552358,0.610275,0.5483,0.586458,0.627834,0.653516,0.559723,0.569536,0.577545,0.549032,0.598407,0.58117,0.585552,0.55607,0.569896,0.573417,0.591283,0.573417,0.575765,0.576616,0.573283,0.57664,0.475753,0.544004,0.574076,0.50509,0.530096,0.498761,0.552339,0.570442,0.591183,0.596814,0.525449,0.581638,0.567596,0.555403,0.614097
0.0393522,0.548107,0.602924,0.543195,0.577157,0.622702,0.645804,0.552273,0.571049,0.572474,0.539726,0.590459,0.571851,0.573246,0.549392,0.557891,0.560534,0.585177,0.568472,0.558556,0.556545,0.567458,0.570181,0.45851,0.524724,0.567386,0.496192,0.528564,0.490252,0.545578,0.557589,0.585048,0.583547,0.520017,0.580569,0.558018,0.540966,0.610874
0.539352,0.536492,0.586669,0.529609,0.559916,0.608943,0.62822,0.540835,0.565899,0.55786,0.524947,0.57542,0.558582,0.558169,0.535648,0.539518,0.539296,0.568609,0.554732,0.535595,0.531434,0.5511,0.554028,0.433852,0.497301,0.552011,0.482136,0.522291,0.477184,0.534657,0.540689,0.572603,0.562981,0.504249,0.56951,0.541785,0.523549,0.596365
1.03935,0.522628,0.56807,0.509258,0.541434,0.589113,0.605967,0.530406,0.555638,0.539272,0.512172,0.55648,0.548628,0.541814,0.516979,0.517586,0.515778,0.545648,0.536078,0.5108,0.507245,0.530025,0.53066,0.409434,0.467011,0.534054,0.466208,0.511491,0.464666,0.523027,0.522929,0.556865,0.540741,0.485361,0.552269,0.521478,0.507368,0.577191
1.53935,0.511766,0.550808,0.486446,0.527017,0.567067,0.58441,0.522252,0.544447,0.52185,0.503593,0.538092,0.544089,0.526447,0.497255,0.497736,0.496175,0.522046,0.516542,0.489444,0.487595,0.508988,0.504691,0.393287,0.441473,0.518315,0.453419,0.499936,0.455952,0.512412,0.505776,0.540609,0.521782,0.469308,0.533098,0.49915,0.495657,0.55822
